tree	data	llh_fixedv	llh_optimv
 t10_01.nwk	 dm10_01.txt	-312.15623	-305.50324
 t10_02.nwk	 dm10_02.txt	-325.602	-314.05864
 t10_03.nwk	 dm10_03.txt	-398.92051	-390.75273
 t10_04.nwk	 dm10_04.txt	-402.39157	-392.25834
 t10_05.nwk	 dm10_05.txt	-349.98059	-343.83104
 t10_06.nwk	 dm10_06.txt	-360.64568	-350.54099
 t10_07.nwk	 dm10_07.txt	-337.82326	-331.28116
 t10_08.nwk	 dm10_08.txt	-333.82258	-328.90663
 t10_09.nwk	 dm10_09.txt	-400.47962	-394.83418
 t10_10.nwk	 dm10_10.txt	-355.65602	-348.31738
 t10_11.nwk	 dm10_11.txt	-355.84234	-345.37985
 t10_12.nwk	 dm10_12.txt	-424.58151	-415.79769
 t10_13.nwk	 dm10_13.txt	-515.78724	-511.84351
 t10_14.nwk	 dm10_14.txt	-293.74049	-287.28517
 t10_15.nwk	 dm10_15.txt	-339.84624	-324.36885
 t10_16.nwk	 dm10_16.txt	-381.18391	-371.87104
 t10_17.nwk	 dm10_17.txt	-379.47811	-372.21548
 t10_18.nwk	 dm10_18.txt	-376.40088	-370.83349
 t10_19.nwk	 dm10_19.txt	-393.54261	-384.8845
 t10_20.nwk	 dm10_20.txt	-388.27998	-373.8618
 t100_01.nwk	 dm100_01.txt	-44809.16973	-44713.381
 t100_02.nwk	 dm100_02.txt	-40499.44717	    NaN
 t100_03.nwk	 dm100_03.txt	-41319.73037	    NaN
 t100_04.nwk	 dm100_04.txt	-44542.89087	    NaN
 t100_05.nwk	 dm100_05.txt	-42338.81107	-44591.60639
 t100_06.nwk	 dm100_06.txt	-40776.87186	-44017.60804
 t100_07.nwk	 dm100_07.txt	-41931.32389	-41853.19162
 t100_08.nwk	 dm100_08.txt	-42835.181	-42738.4913
 t100_09.nwk	 dm100_09.txt	-39880.52898	-39781.59299
 t100_10.nwk	 dm100_10.txt	-42623.71041	    NaN
 t100_11.nwk	 dm100_11.txt	-41372.73617	-41032.713
 t100_12.nwk	 dm100_12.txt	-40651.48608	    NaN
 t100_13.nwk	 dm100_13.txt	-41135.45014	-41109.82521
 t100_14.nwk	 dm100_14.txt	-45395.92431	-45840.89653
 t100_15.nwk	 dm100_15.txt	-39853.66646	-41129.41272
 t100_16.nwk	 dm100_16.txt	-42778.1514	    NaN
 t100_17.nwk	 dm100_17.txt	-42239.04861	    NaN
 t100_18.nwk	 dm100_18.txt	-42363.34038	    NaN      
 t100_19.nwk	 dm100_19.txt	-41493.78189	    NaN
 t100_20.nwk	 dm100_20.txt	-42643.56128	    NaN
